CDT Code,Full Description,Short Description,Category,Standard Fee ($),PPO Fee ($)
D0120,periodic oral evaluation - established patient,Periodic Oral Eval - Est Patient,Diag / Img,65.0,52.0
D0140,limited oral evaluation - problem focused,Limited Oral Eval - Problem,Diag / Img,90.0,72.0
D0145,oral evaluation for a patient under three years of age and counseling with primary caregiver,,Diag / Img,90.0,72.0
D0150,comprehensive oral evaluation - new or established patient,Comprehensive Oral Eval,Diag / Img,105.0,84.0
D0160,"detailed and extensive oral evaluation - problem focused, by report",,Diag / Img,90.0,72.0
D0170,"re-evaluation - limited, problem focused (established patient; not post-operative visit)",,Diag / Img,90.0,72.0
D0171,re-evaluation – post-operative office visit,,Diag / Img,90.0,72.0
D0180,comprehensive periodontal evaluation - new or established patient,,Diag / Img,105.0,84.0
D0190,screening of a patient,,Diag / Img,100.0,80.0
D0191,assessment of a patient,,Diag / Img,100.0,80.0
D0210,intraoral - complete series of radiographic images,FMX,Diag / Img,140.0,112.0
D0220,intraoral - periapical first radiographic image,PA - First Film,Diag / Img,35.0,28.0
D0230,intraoral - periapical each additional radiographic image,,Diag / Img,35.0,28.0
D0240,intraoral - occlusal radiographic image,,Diag / Img,35.0,28.0
D0250,"extra-oral – 2D projection radiographic image created using a stationary radiation source, and detector",,Diag / Img,35.0,28.0
D0251,extra-oral posterior dental radiographic image,,Diag / Img,35.0,28.0
D0270,bitewing - single radiographic image,,Diag / Img,30.0,24.0
D0272,bitewings - two radiographic images,BW - 2 Films,Diag / Img,40.0,32.0
D0273,bitewings - three radiographic images,,Diag / Img,55.0,44.0
D0274,bitewings - four radiographic images,BW - 4 Films,Diag / Img,55.0,44.0
D0277,vertical bitewings - 7 to 8 radiographic images,,Diag / Img,55.0,44.0
D0310,sialography,,Diag / Img,100.0,80.0
D0320,"temporomandibular joint arthrogram, including injection",,Diag / Img,100.0,80.0
D0321,"other temporomandibular joint radiographic images, by report",,Diag / Img,35.0,28.0
D0322,tomographic survey,,Diag / Img,100.0,80.0
D0330,panoramic radiographic image,Panoramic,Diag / Img,130.0,104.0
D0340,"2D cephalometric radiographic image – acquisition, measurement and analysis",,Diag / Img,35.0,28.0
D0350,2D oral/facial photographic image obtained intra-orally or extra-orally,,Diag / Img,35.0,28.0
D0351,3D photographic image,,Diag / Img,35.0,28.0
D0364,cone beam CT capture and interpretation with limited field of view – less than one whole jaw,CBCT Single Site,Diag / Img,225.0,180.0
D0365,cone beam CT capture and interpretation with field of view of one full dental arch – mandible,,Diag / Img,100.0,80.0
D0366,"cone beam CT capture and interpretation with field of view of one full dental arch – maxilla, with or without cranium",,Diag / Img,100.0,80.0
D0367,cone beam CT capture and interpretation with field of view of both jaws; with or without cranium,,Diag / Img,100.0,80.0
D0368,cone beam CT capture and interpretation for TMJ series including two or more exposures,,Diag / Img,100.0,80.0
D0369,maxillofacial MRI capture and interpretation,,Diag / Img,100.0,80.0
D0370,maxillofacial ultrasound capture and interpretation,,Diag / Img,100.0,80.0
D0371,sialoendoscopy capture and interpretation,,Diag / Img,100.0,80.0
D0380,cone beam CT image capture with limited field of view – less than one whole jaw,,Diag / Img,250.0,200.0
D0381,cone beam CT image capture with field of view of one full dental arch – mandible,,Diag / Img,250.0,200.0
D0382,"cone beam CT image capture with field of view of one full dental arch – maxilla, with or without cranium",,Diag / Img,250.0,200.0
D0383,cone beam CT image capture with field of view of both jaws; with or without cranium,,Diag / Img,140.0,112.0
D0384,cone beam CT image capture for TMJ series including two or more exposures,,Diag / Img,140.0,112.0
D0385,maxillofacial MRI image capture,,Diag / Img,35.0,28.0
D0386,maxillofacial ultrasound image capture,,Diag / Img,35.0,28.0
D0391,"interpretation of diagnostic image by a practitioner not associated with capture of the image, including report",,Diag / Img,35.0,28.0
D0393,treatment simulation using 3D image volume,,Diag / Img,35.0,28.0
D0394,digital subtraction of two or more images or image volumes of the same modality,,Diag / Img,35.0,28.0
D0395,fusion of two or more 3D image volumes of one or more modalities,,Diag / Img,35.0,28.0
D0411,HbA1c in-office point of service testing,,Diag / Img,100.0,80.0
D0412,blood glucose level test – in-office using a glucose meter,,Diag / Img,100.0,80.0
D0414,"laboratory processing of microbial specimen to include culture and sensitivity studies, preparation and transmission of written report",,Diag / Img,100.0,80.0
D0415,collection of microorganisms for culture and sensitivity,,Diag / Img,100.0,80.0
D0416,viral culture,,Diag / Img,100.0,80.0
